,as_of,account,posted_at,tweet_id,text
3754,16:17.3,PvForecast,26/12/2022 16:11,1.60741E+18,MJO https://t.co/6zzjROjTMB
4334,16:17.3,PvForecast,26/12/2022 16:06,1.60741E+18,latest AO NAO and PNA https://t.co/S3ubEtv7Dk
4448,16:17.3,PvForecast,26/12/2022 15:53,1.6074E+18,#storm #norway next hours https://t.co/1KpmxhmH6a
4884,16:31.5,PvForecast,23/9/2022 19:53,1.5734E+18,latest PV forecast https://t.co/7OsjX9HmMk
6861,16:17.3,PvForecast,26/12/2022 15:50,1.6074E+18,attention #UK #storm  30 #december https://t.co/SPlpEH66Ij
7098,16:17.3,PvForecast,25/12/2022 14:40,1.60702E+18,MJO https://t.co/5t4sxQmA8l
7180,16:17.3,PvForecast,31/12/2022 11:57,1.60916E+18,#winter is going into #secondround https://t.co/EZqUbGpAZY
7196,16:17.3,PvForecast,25/12/2022 15:53,1.60704E+18,#winter #iceland #arctic https://t.co/ZhHrcitd3o
7291,16:17.3,PvForecast,25/12/2022 14:32,1.60702E+18,#SSW setup https://t.co/ztwwPaj9UZ
7328,16:17.3,MetRyan96,25/12/2022 15:53,1.60704E+18,"Evening all

Popped up to Binsey to get some fresh air, Windy and feeling cold, And it’s raining 😆 https://t.co/x1YngmM2HM"
7337,16:17.3,NickJF75,31/12/2022 22:24,1.60931E+18,"#HappyNewYear to all my followers. 2022 certainly be remembered for extremes of weather, especially the extreme heat on July 18-19 with first ever 40C in UK. But also there was Storm Eunice in Feb, unusually thundery late October and then some snow in early Dec. Here's to 2023 🍻 https://t.co/KsHREWnuWK"
7338,16:17.3,peacockreports,31/12/2022 19:48,1.60928E+18,"Interesting forecast model adjustments for next Thu over Scandinavia. Low pressure is now much weaker &amp; more disrupted, allowing some notably cold air to move across the region.

Models are keen to shunt it aside by the weekend but what if they adjust similarly a 2nd time? 🤨 https://t.co/xujbOdVe2Y"
7339,16:17.3,PvForecast,31/12/2022 19:37,1.60927E+18,next week #winter NE https://t.co/VvJ3pJlwIK
7340,16:17.3,PvForecast,31/12/2022 18:45,1.60926E+18,1hpa #monsterwarming PV #ssw https://t.co/B903aWSmc5
7341,16:17.3,Met4CastUK,31/12/2022 17:48,1.60925E+18,"Despite a few musings from some there remains no sign of an SSW in the forecast. 

Whilst the vortex will weaken, it’s weakening from anomalously strong state back down to around average. 

Personally i’d say there’s a slim chance of an SSW this winter. https://t.co/zHEhu1EbAY"
7342,16:17.3,Met4CastUK,31/12/2022 17:47,1.60924E+18,"Despite a few musings from some there remains no sign of an SSW in the forecast. 

Whilst the vortex will weaken, it’s weakening from anomalously strong back down to around average. 

Personally i’d say there’s a slim chance of an SSW this winter. https://t.co/6OzY6qJLE4"
7343,16:17.3,PvForecast,31/12/2022 16:35,1.60923E+18,#snow for #Glasgow into #newyear #scotland https://t.co/JdCtgb7iae
7344,16:17.3,PvForecast,31/12/2022 15:44,1.60921E+18,"PV into a weakening mode 
the countdown 😋 https://t.co/1J8I6p6dN2"
7345,16:17.3,PvForecast,31/12/2022 15:23,1.60921E+18,AO NAO and PNA https://t.co/HT9nMKS4NA
7346,16:17.3,Met4CastUK,31/12/2022 14:06,1.60919E+18,"We’ve seen quite a recovery in AAM on the back of the MJO &amp; subsequent +MT event (good call @peacockreports)

Whilst I don’t think HLB is likely, I am still anticipating a switch to more settled conditions late 2nd week of Jan. https://t.co/qQVZvTQEQ7"
7347,16:17.3,Met4CastUK,31/12/2022 11:51,1.60916E+18,"Morning. 

Any settled weather appears to have been pushed back more towards the middle of January. Further spells of wet weather are likely until then. 

No sign of anything cold in the forecast. We remain at level red! https://t.co/G32aL3XieG"
7348,16:17.3,PvForecast,31/12/2022 11:08,1.60914E+18,PV #SSW https://t.co/qQxSMx1Bia
7349,16:17.3,PvForecast,31/12/2022 8:43,1.60911E+18,starting of a warming PV wave1 #winter https://t.co/OHui3144L7
7350,16:17.3,TheSnowDreamer,31/12/2022 7:51,1.60909E+18,"Interesting secondary warming on GFS this morning surely on the cusp of a major SSW. 

Yes I know, it’s too early for this nonsense. 😀 https://t.co/9HEVhpgG5W"
7351,16:17.3,PvForecast,31/12/2022 6:57,1.60908E+18,EC #winter https://t.co/SXTX8YSfzU
7352,16:17.3,PvForecast,31/12/2022 6:14,1.60907E+18,Heavy #snow this morning https://t.co/sn4FbIJo99
7353,16:17.3,PvForecast,31/12/2022 6:01,1.60907E+18,AO blocking ahead https://t.co/Rs7jP6wmdo
7354,16:17.3,Petagna,31/12/2022 5:39,1.60906E+18,"#Metoffice yellow warning for #snow issued 

#weatheraware https://t.co/pGyvrnWbfU"
7355,16:17.3,Petagna,30/12/2022 22:15,1.60895E+18,"Remember the extreme cold 🥶 that affected the US recently?

Well now its record breaking warmth... https://t.co/iiKioEENuw https://t.co/dZSwsfI4oO"
