group_topic,final_location,tweet_count,account_count,temp_counts,temp_percentages
"winter, cold, weather",Unknown,1575,13,"{'cold': 778, 'mild/not relevant': 704, 'very cold': 63, 'hot': 24, 'very hot': 6}","{'cold': '778 (49.4%)', 'mild/not relevant': '704 (44.7%)', 'very cold': '63 (4.0%)', 'hot': '24 (1.5%)', 'very hot': '6 (0.4%)'}"
"snow, cold, uksnow",Unknown,1543,13,"{'cold': 883, 'mild/not relevant': 585, 'very cold': 69, 'very hot': 3, 'hot': 3}","{'cold': '883 (57.2%)', 'mild/not relevant': '585 (37.9%)', 'very cold': '69 (4.5%)', 'very hot': '3 (0.2%)', 'hot': '3 (0.2%)'}"
"cold, snow, z",Unknown,1428,13,"{'cold': 896, 'mild/not relevant': 489, 'very cold': 36, 'hot': 6, 'very hot': 1}","{'cold': '896 (62.7%)', 'mild/not relevant': '489 (34.2%)', 'very cold': '36 (2.5%)', 'hot': '6 (0.4%)', 'very hot': '1 (0.1%)'}"
storm,Unknown,858,13,"{'cold': 710, 'mild/not relevant': 129, 'very cold': 14, 'hot': 5}","{'cold': '710 (82.8%)', 'mild/not relevant': '129 (15.0%)', 'very cold': '14 (1.6%)', 'hot': '5 (0.6%)'}"
"cold, snow, air",Unknown,838,13,"{'cold': 492, 'mild/not relevant': 299, 'very cold': 42, 'very hot': 3, 'hot': 2}","{'cold': '492 (58.7%)', 'mild/not relevant': '299 (35.7%)', 'very cold': '42 (5.0%)', 'very hot': '3 (0.4%)', 'hot': '2 (0.2%)'}"
"snow, cold, uksnow",united states,635,13,"{'cold': 345, 'mild/not relevant': 262, 'very cold': 25, 'very hot': 2, 'hot': 1}","{'cold': '345 (54.3%)', 'mild/not relevant': '262 (41.3%)', 'very cold': '25 (3.9%)', 'very hot': '2 (0.3%)', 'hot': '1 (0.2%)'}"
storm,united states,557,13,"{'cold': 339, 'mild/not relevant': 202, 'hot': 9, 'very cold': 6, 'very hot': 1}","{'cold': '339 (60.9%)', 'mild/not relevant': '202 (36.3%)', 'hot': '9 (1.6%)', 'very cold': '6 (1.1%)', 'very hot': '1 (0.2%)'}"
"snow, cold, uksnow",germany,545,13,"{'cold': 325, 'mild/not relevant': 200, 'very cold': 17, 'hot': 3}","{'cold': '325 (59.6%)', 'mild/not relevant': '200 (36.7%)', 'very cold': '17 (3.1%)', 'hot': '3 (0.6%)'}"
"winter, cold, weather",united states,409,13,"{'cold': 191, 'mild/not relevant': 188, 'very cold': 20, 'hot': 6, 'very hot': 4}","{'cold': '191 (46.7%)', 'mild/not relevant': '188 (46.0%)', 'very cold': '20 (4.9%)', 'hot': '6 (1.5%)', 'very hot': '4 (1.0%)'}"
"cold, snow, air",united states,301,13,"{'cold': 155, 'mild/not relevant': 126, 'very cold': 11, 'hot': 5, 'very hot': 4}","{'cold': '155 (51.5%)', 'mild/not relevant': '126 (41.9%)', 'very cold': '11 (3.7%)', 'hot': '5 (1.7%)', 'very hot': '4 (1.3%)'}"
blocking,Unknown,300,13,"{'cold': 225, 'mild/not relevant': 62, 'very cold': 8, 'hot': 5}","{'cold': '225 (75.0%)', 'mild/not relevant': '62 (20.7%)', 'very cold': '8 (2.7%)', 'hot': '5 (1.7%)'}"
"snow, cold, uksnow",united kingdom,297,12,"{'mild/not relevant': 141, 'cold': 129, 'very cold': 26, 'hot': 1}","{'mild/not relevant': '141 (47.5%)', 'cold': '129 (43.4%)', 'very cold': '26 (8.8%)', 'hot': '1 (0.3%)'}"
ssw,Unknown,249,12,"{'mild/not relevant': 133, 'cold': 110, 'very cold': 6}","{'mild/not relevant': '133 (53.4%)', 'cold': '110 (44.2%)', 'very cold': '6 (2.4%)'}"
"cold, snow, z",germany,241,11,"{'cold': 169, 'mild/not relevant': 65, 'very cold': 7}","{'cold': '169 (70.1%)', 'mild/not relevant': '65 (27.0%)', 'very cold': '7 (2.9%)'}"
"cold, snow, air",germany,238,13,"{'cold': 141, 'mild/not relevant': 80, 'very cold': 12, 'hot': 4, 'very hot': 1}","{'cold': '141 (59.2%)', 'mild/not relevant': '80 (33.6%)', 'very cold': '12 (5.0%)', 'hot': '4 (1.7%)', 'very hot': '1 (0.4%)'}"
storm,germany,184,13,"{'cold': 135, 'mild/not relevant': 46, 'very cold': 2, 'hot': 1}","{'cold': '135 (73.4%)', 'mild/not relevant': '46 (25.0%)', 'very cold': '2 (1.1%)', 'hot': '1 (0.5%)'}"
"snow, cold, uksnow",norway,181,13,"{'cold': 95, 'mild/not relevant': 80, 'very cold': 6}","{'cold': '95 (52.5%)', 'mild/not relevant': '80 (44.2%)', 'very cold': '6 (3.3%)'}"
"cold, snow, z",united states,178,13,"{'mild/not relevant': 91, 'cold': 83, 'very cold': 4}","{'mild/not relevant': '91 (51.1%)', 'cold': '83 (46.6%)', 'very cold': '4 (2.2%)'}"
"winter, cold, weather",norway,167,13,"{'mild/not relevant': 86, 'cold': 66, 'hot': 7, 'very cold': 7, 'very hot': 1}","{'mild/not relevant': '86 (51.5%)', 'cold': '66 (39.5%)', 'hot': '7 (4.2%)', 'very cold': '7 (4.2%)', 'very hot': '1 (0.6%)'}"
pv,Unknown,163,10,"{'mild/not relevant': 118, 'hot': 22, 'cold': 21, 'very cold': 2}","{'mild/not relevant': '118 (72.4%)', 'hot': '22 (13.5%)', 'cold': '21 (12.9%)', 'very cold': '2 (1.2%)'}"
nao,Unknown,154,12,"{'mild/not relevant': 116, 'cold': 20, 'hot': 18}","{'mild/not relevant': '116 (75.3%)', 'cold': '20 (13.0%)', 'hot': '18 (11.7%)'}"
